,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,tags,counts_rv_eng,all_time_peak,24h_peak
317,31270,Puzzle Agent,Telltale,Telltale,,2091,278,0,"500,000 .. 1,000,000",224,0,236,0,499,499,0,9,"['Puzzle', 'Adventure', 'Point & Click', 'Casual', 'Detective', 'Singleplayer', 'Mystery', 'Comedy', 'Surreal', 'Short', 'Action', 'Funny', 'Atmospheric', 'Horror', 'Hand-drawn', 'Touch-Friendly', '2D', 'Story Rich', 'Conspiracy', 'Interactive Fiction']",1811,228,7
318,385800,NEKOPARA Vol. 0,NEKO WORKs,Sekai Project,,15931,1006,0,"500,000 .. 1,000,000",3034,0,123,0,299,299,0,21,"['Anime', 'Nudity', 'Sexual Content', 'Visual Novel', 'Cute', 'Mature', 'Singleplayer', 'First-Person', 'Dating Sim', 'Casual', 'Hentai', 'Story Rich', '2D', 'Indie', 'Romance', 'Cats', 'Great Soundtrack', 'Funny', 'Linear', 'Female Protagonist']",6101,949,26
319,351940,The Descendant,Gaming Corps AB,"Microids Indie, Microids",,4937,690,0,"500,000 .. 1,000,000",832,0,261,0,149,1499,90,109,"['Adventure', 'Point & Click', 'Casual', 'Story Rich', 'Post-apocalyptic', 'Episodic', 'Choices Matter', 'Sci-fi', 'Indie', 'Alternate History', 'Singleplayer', 'Free to Play', 'Atmospheric', 'Horror']",1943,12233,55
320,311730,DEAD OR ALIVE 5 Last Round: Core Fighters,"Team NINJA, KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,5956,2957,0,"500,000 .. 1,000,000",2179,0,18,0,0,0,0,64,"['Fighting', 'Mature', 'Sexual Content', 'Female Protagonist', 'Action', 'Anime', 'Multiplayer', 'Ninja', 'Arcade', 'Physics', 'Singleplayer', 'Free to Play', 'Cute', ""Beat 'em up"", 'Great Soundtrack', 'Local Multiplayer', '3D', '3D Fighter', 'Competitive', 'Moddable']",2893,2738,51
321,266510,Hand of Fate,Defiant Development,Defiant Development,,9171,1021,0,"500,000 .. 1,000,000",387,0,283,0,1999,1999,0,23,"['Roguelike Deckbuilder', 'Roguelike', 'Deckbuilding', 'Action Roguelike', 'Card Game', 'RPG', 'Singleplayer', 'Action', 'Fantasy', 'Indie', 'Choose Your Own Adventure', 'Adventure', 'Roguelite', 'Third Person', 'Action RPG', 'Atmospheric', 'Board Game', 'Difficult', 'Hack and Slash', 'Tabletop']",4419,2169,22
322,239070,Hammerwatch,Crackshell,Crackshell,,5607,643,0,"500,000 .. 1,000,000",560,0,203,0,999,999,0,25,"['Dungeon Crawler', 'Indie', 'RPG', 'Co-op', 'Pixel Graphics', 'Action', 'Local Co-Op', 'Online Co-Op', 'Adventure', 'Hack and Slash', 'Retro', 'Fantasy', 'Multiplayer', '2D', '4 Player Local', 'Top-Down', 'Singleplayer', 'Local Multiplayer', 'Roguelike', 'Level Editor']",4291,3249,16
323,324810,TOXIKK,Reakktor Studios,Schwiezer System GmbH,,4179,1256,0,"500,000 .. 1,000,000",347,0,53,0,0,0,0,182,"['FPS', 'Action', 'Free to Play', 'Arena Shooter', 'Multiplayer', 'Shooter', 'Indie', 'First-Person', 'Fast-Paced', 'Singleplayer', 'Competitive', 'Sci-fi', 'Classic', 'Open World', 'Co-op', 'Parkour', 'PvP', 'Massively Multiplayer', 'Strategy', 'Early Access']",3723,1383,158
324,305050,Outland,Housemarque,Housemarque,,3108,731,0,"500,000 .. 1,000,000",247,0,96,0,999,999,0,3,"['Platformer', 'Action', 'Metroidvania', 'Co-op', '2D', 'Adventure', 'Indie', 'Bullet Hell', 'Multiplayer', 'Controller', 'Singleplayer', 'Great Soundtrack', 'Difficult', 'Online Co-Op', 'Arcade', 'Atmospheric']",1590,15667,7
325,449960,Book of Demons,Thing Trunk,Thing Trunk,,9136,2272,0,"500,000 .. 1,000,000",246,0,200,0,2499,2499,0,28,"['Dungeon Crawler', 'Roguelike Deckbuilder', 'Hack and Slash', 'RPG', 'Deckbuilding', 'Singleplayer', 'Isometric', 'Action RPG', 'Dark Fantasy', 'Fantasy', 'Demons', 'Card Game', 'Action', 'Adventure', 'Action-Adventure', 'Roguelike', 'Zombies', 'Controller', 'Atmospheric', 'Roguelite']",4776,2054,25
326,215100,Ragnarok Online,Gravity Interactive,Gravity Interactive,,1429,487,0,"500,000 .. 1,000,000",810,0,856,0,0,0,0,65,"['Free to Play', 'RPG', 'Massively Multiplayer', 'MMORPG', 'Anime', 'Fantasy', 'Multiplayer', 'Adventure', 'JRPG', 'Great Soundtrack', 'Old School', 'Nudity', '2D']",1218,973,74
327,1116960,UNDEFEATED,UNDEFEATED Games,Vantan Game Academy,,4846,604,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,40,"['Free to Play', 'Superhero', 'Open World', 'Action', 'Multiplayer', 'Indie', 'Singleplayer', 'Third Person', 'Sandbox', 'Funny', 'Fighting', 'Online Co-Op']",3272,687,30
328,792220,Paunch,Kozhakov,Kozhakov,,9028,1026,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,11,"['Psychological Horror', 'Hentai', 'Sexual Content', 'Nudity', 'Free to Play', 'Multiplayer', 'Realistic', 'Funny', 'Fighting', 'PvP', 'Action', 'Physics', 'Sports', 'Massively Multiplayer', 'Third Person', 'Replay Value', 'Simulation', 'Indie', 'RPG', 'Procedural Generation']",4789,386,13
329,420970,RoBoRumble,Metropolis,TopWare Interactive ACE,,112,81,0,"500,000 .. 1,000,000",338,0,351,0,599,599,0,0,"['Strategy', 'Indie', ""1990's"", 'Classic']",50,12734,3
330,214170,Divine Divinity,Larian Studios,Larian Studios,,2449,324,0,"500,000 .. 1,000,000",385,0,148,0,59,599,90,77,"['RPG', 'Fantasy', 'Isometric', 'Classic', 'Action RPG', 'Singleplayer', 'Open World', 'Real-Time with Pause', 'Hack and Slash', 'Adventure', 'Exploration', 'CRPG', '2D', 'Action', 'Great Soundtrack', 'Atmospheric', 'Story Rich', 'Funny', 'Female Protagonist', 'Cult Classic']",1247,300,56
331,591740,Sniper Fury,Gameloft,Gameloft,,1181,1287,0,"500,000 .. 1,000,000",89,0,15,0,0,0,0,140,"['Free to Play', 'Action', 'Shooter', 'Sniper', 'Multiplayer', 'FPS', 'Singleplayer', 'First-Person', 'Violent', 'Open World', 'Gore', 'Co-op', 'Massively Multiplayer', 'Online Co-Op', 'Adventure', 'Controller', 'Funny', 'Great Soundtrack', 'Comedy', 'Indie']",915,664,156
